v,s,i,dim,label,code
wcde-v2,1,bmys,year,2035,17
wcde-v2,1,bmys,year,2040,18
wcde-v2,1,bmys,year,2045,19
wcde-v2,1,bmys,year,2050,20
wcde-v2,1,bmys,year,2055,21
wcde-v2,1,bmys,year,2060,22
wcde-v2,1,bmys,year,2065,23
wcde-v2,1,bmys,year,2070,24
wcde-v2,1,bmys,year,2075,25
wcde-v2,1,bmys,year,2080,26
wcde-v2,1,bmys,year,2085,27
wcde-v2,1,bmys,year,2090,28
wcde-v2,1,bmys,year,2095,29
wcde-v2,1,bmys,year,2100,30
wcde-v2,1,bpop,age,All,0
wcde-v2,1,bpop,edu,Total,0
wcde-v2,1,bpop,sex,Both,0
wcde-v2,1,bpop,year,1950,0
wcde-v2,1,bpop,age,0--14,1
wcde-v2,1,bpop,age,0--19,2
wcde-v2,1,bpop,age,15+,3
wcde-v2,1,bpop,age,25+,4
wcde-v2,1,bpop,age,20--39,5
wcde-v2,1,bpop,age,40--64,6
wcde-v2,1,bpop,age,60+,7
wcde-v2,1,bpop,age,65+,8
wcde-v2,1,bpop,age,80+,9
wcde-v2,1,bpop,age,20--64,10
wcde-v2,1,bpop,sex,Male,1
wcde-v2,1,bpop,sex,Female,2
wcde-v2,1,bpop,year,1955,1
wcde-v2,1,bpop,year,1960,2
wcde-v2,1,bpop,year,1965,3
wcde-v2,1,bpop,year,1970,4
wcde-v2,1,bpop,year,1975,5
wcde-v2,1,bpop,year,1980,6
wcde-v2,1,bpop,year,1985,7
wcde-v2,1,bpop,year,1990,8
wcde-v2,1,bpop,year,1995,9
wcde-v2,1,bpop,year,2000,10
wcde-v2,1,bpop,year,2005,11
wcde-v2,1,bpop,year,2010,12
wcde-v2,1,bpop,year,2015,13
wcde-v2,1,bpop,year,2020,14
wcde-v2,1,bpop,year,2025,15
wcde-v2,1,bpop,year,2030,16
wcde-v2,1,bpop,year,2035,17
wcde-v2,1,bpop,year,2040,18
wcde-v2,1,bpop,year,2045,19
wcde-v2,1,bpop,year,2050,20
wcde-v2,1,bpop,year,2055,21
wcde-v2,1,bpop,year,2060,22
wcde-v2,1,bpop,year,2065,23
wcde-v2,1,bpop,year,2070,24
wcde-v2,1,bpop,year,2075,25
wcde-v2,1,bpop,year,2080,26
wcde-v2,1,bpop,year,2085,27
wcde-v2,1,bpop,year,2090,28
wcde-v2,1,bpop,year,2095,29
wcde-v2,1,bpop,year,2100,30
wcde-v2,1,cbr,age,All,0
wcde-v2,1,cbr,edu,Total,0
wcde-v2,1,cbr,sex,Both,0
wcde-v2,1,cbr,year,1950,0
wcde-v2,1,cbr,year,1955,1
wcde-v2,1,cbr,year,1960,2
wcde-v2,1,cbr,year,1965,3
wcde-v2,1,cbr,year,1970,4
wcde-v2,1,cbr,year,1975,5
wcde-v2,1,cbr,year,1980,6
wcde-v2,1,cbr,year,1985,7
wcde-v2,1,cbr,year,1990,8
wcde-v2,1,cbr,year,1995,9
wcde-v2,1,cbr,year,2000,10
wcde-v2,1,cbr,year,2005,11
wcde-v2,1,cbr,year,2010,12
wcde-v2,1,cbr,year,2015,13
wcde-v2,1,cbr,year,2020,14
wcde-v2,1,cbr,year,2025,15
wcde-v2,1,cbr,year,2030,16
wcde-v2,1,cbr,year,2035,17
wcde-v2,1,cbr,year,2040,18
wcde-v2,1,cbr,year,2045,19
wcde-v2,1,cbr,year,2050,20
wcde-v2,1,cbr,year,2055,21
wcde-v2,1,cbr,year,2060,22
wcde-v2,1,cbr,year,2065,23
wcde-v2,1,cbr,year,2070,24
wcde-v2,1,cbr,year,2075,25
wcde-v2,1,cbr,year,2080,26
wcde-v2,1,cbr,year,2085,27
wcde-v2,1,cbr,year,2090,28
wcde-v2,1,cbr,year,2095,29
wcde-v2,1,cdr,age,All,0
wcde-v2,1,cdr,edu,Total,0
wcde-v2,1,cdr,sex,Both,0
wcde-v2,1,cdr,year,1950,0
wcde-v2,1,cdr,year,1955,1
wcde-v2,1,cdr,year,1960,2
wcde-v2,1,cdr,year,1965,3
wcde-v2,1,cdr,year,1970,4
wcde-v2,1,cdr,year,1975,5
wcde-v2,1,cdr,year,1980,6
wcde-v2,1,cdr,year,1985,7
wcde-v2,1,cdr,year,1990,8
wcde-v2,1,cdr,year,1995,9
wcde-v2,1,cdr,year,2000,10
wcde-v2,1,cdr,year,2005,11
wcde-v2,1,cdr,year,2010,12
wcde-v2,1,cdr,year,2015,13
wcde-v2,1,cdr,year,2020,14
wcde-v2,1,cdr,year,2025,15
wcde-v2,1,cdr,year,2030,16
wcde-v2,1,cdr,year,2035,17
wcde-v2,1,cdr,year,2040,18
wcde-v2,1,cdr,year,2045,19
wcde-v2,1,cdr,year,2050,20
wcde-v2,1,cdr,year,2055,21
wcde-v2,1,cdr,year,2060,22
wcde-v2,1,cdr,year,2065,23
wcde-v2,1,cdr,year,2070,24
wcde-v2,1,cdr,year,2075,25
wcde-v2,1,cdr,year,2080,26
wcde-v2,1,cdr,year,2085,27
wcde-v2,1,cdr,year,2090,28
wcde-v2,1,cdr,year,2095,29
wcde-v2,1,e0,age,All,0
wcde-v2,1,e0,edu,Total,0
wcde-v2,1,e0,sex,Male,1
wcde-v2,1,e0,year,1950,0
wcde-v2,1,e0,sex,Female,2
wcde-v2,1,e0,year,1955,1
wcde-v2,1,e0,year,1960,2
wcde-v2,1,e0,year,1965,3
wcde-v2,1,e0,year,1970,4
wcde-v2,1,e0,year,1975,5
wcde-v2,1,e0,year,1980,6
wcde-v2,1,e0,year,1985,7
wcde-v2,1,e0,year,1990,8
wcde-v2,1,e0,year,1995,9
wcde-v2,1,e0,year,2000,10
wcde-v2,1,e0,year,2005,11
wcde-v2,1,e0,year,2010,12
wcde-v2,1,e0,year,2015,13
wcde-v2,1,e0,year,2020,14
wcde-v2,1,e0,year,2025,15
wcde-v2,1,e0,year,2030,16
wcde-v2,1,e0,year,2035,17
wcde-v2,1,e0,year,2040,18
wcde-v2,1,e0,year,2045,19
wcde-v2,1,e0,year,2050,20
wcde-v2,1,e0,year,2055,21
wcde-v2,1,e0,year,2060,22
wcde-v2,1,e0,year,2065,23
wcde-v2,1,e0,year,2070,24
wcde-v2,1,e0,year,2075,25
wcde-v2,1,e0,year,2080,26
wcde-v2,1,e0,year,2085,27
wcde-v2,1,e0,year,2090,28
wcde-v2,1,e0,year,2095,29
wcde-v2,1,easfr,age,15--19,4
wcde-v2,1,easfr,edu,No Education,2
wcde-v2,1,easfr,sex,Female,2
wcde-v2,1,easfr,year,2015,13
wcde-v2,1,easfr,edu,Incomplete Primary,3
wcde-v2,1,easfr,edu,Primary,4
wcde-v2,1,easfr,edu,Lower Secondary,5
wcde-v2,1,easfr,edu,Upper Secondary,6
wcde-v2,1,easfr,edu,Post Secondary,7
wcde-v2,1,easfr,age,20--24,5
wcde-v2,1,easfr,age,25--29,6
wcde-v2,1,easfr,age,30--34,7
wcde-v2,1,easfr,age,35--39,8
wcde-v2,1,easfr,age,40--44,9
wcde-v2,1,easfr,age,45--49,10
wcde-v2,1,easfr,year,2020,14
wcde-v2,1,easfr,year,2025,15
wcde-v2,1,easfr,year,2030,16
wcde-v2,1,easfr,year,2035,17
wcde-v2,1,easfr,year,2040,18
wcde-v2,1,easfr,year,2045,19
wcde-v2,1,easfr,year,2050,20
wcde-v2,1,easfr,year,2055,21
wcde-v2,1,easfr,year,2060,22
wcde-v2,1,easfr,year,2065,23
wcde-v2,1,easfr,year,2070,24
wcde-v2,1,easfr,year,2075,25
wcde-v2,1,easfr,year,2080,26
wcde-v2,1,easfr,year,2085,27
wcde-v2,1,easfr,year,2090,28
wcde-v2,1,easfr,year,2095,29
wcde-v2,1,eassr,age,Newborn,0
wcde-v2,1,eassr,edu,No Education,2
wcde-v2,1,eassr,sex,Male,1
wcde-v2,1,eassr,year,2015,13
wcde-v2,1,eassr,edu,Incomplete Primary,3
wcde-v2,1,eassr,edu,Primary,4
wcde-v2,1,eassr,edu,Lower Secondary,5
wcde-v2,1,eassr,edu,Upper Secondary,6
wcde-v2,1,eassr,edu,Post Secondary,7
wcde-v2,1,eassr,age,0--4,1
wcde-v2,1,eassr,age,5--9,2
wcde-v2,1,eassr,age,10--14,3
wcde-v2,1,eassr,age,15--19,4
wcde-v2,1,eassr,age,20--24,5
wcde-v2,1,eassr,age,25--29,6
wcde-v2,1,eassr,age,30--34,7
wcde-v2,1,eassr,age,35--39,8
wcde-v2,1,eassr,age,40--44,9
wcde-v2,1,eassr,age,45--49,10
wcde-v2,1,eassr,age,50--54,11
wcde-v2,1,eassr,age,55--59,12
wcde-v2,1,eassr,age,60--64,13
wcde-v2,1,eassr,age,65--69,14
wcde-v2,1,eassr,age,70--74,15
wcde-v2,1,eassr,age,75--79,16
wcde-v2,1,eassr,age,80--84,17
wcde-v2,1,eassr,age,85--89,18
wcde-v2,1,eassr,age,90--94,19
wcde-v2,1,eassr,age,95--99,20
wcde-v2,1,eassr,age,100+,21
wcde-v2,1,eassr,sex,Female,2
wcde-v2,1,eassr,year,2020,14
wcde-v2,1,eassr,year,2025,15
wcde-v2,1,eassr,year,2030,16
wcde-v2,1,eassr,year,2035,17
wcde-v2,1,eassr,year,2040,18
wcde-v2,1,eassr,year,2045,19
wcde-v2,1,eassr,year,2050,20
wcde-v2,1,eassr,year,2055,21
wcde-v2,1,eassr,year,2060,22
wcde-v2,1,eassr,year,2065,23
wcde-v2,1,eassr,year,2070,24
wcde-v2,1,eassr,year,2075,25
wcde-v2,1,eassr,year,2080,26
wcde-v2,1,eassr,year,2085,27
wcde-v2,1,eassr,year,2090,28
wcde-v2,1,eassr,year,2095,29
wcde-v2,1,epop,age,All,0
wcde-v2,1,epop,edu,Total,0
wcde-v2,1,epop,sex,Both,0
wcde-v2,1,epop,year,1950,0
wcde-v2,1,epop,edu,Under 15,1
wcde-v2,1,epop,edu,No Education,2
wcde-v2,1,epop,edu,Incomplete Primary,3
wcde-v2,1,epop,edu,Primary,4
wcde-v2,1,epop,edu,Lower Secondary,5
wcde-v2,1,epop,edu,Upper Secondary,6
wcde-v2,1,epop,edu,Post Secondary,7
wcde-v2,1,epop,age,0--4,1
wcde-v2,1,epop,age,5--9,2
wcde-v2,1,epop,age,10--14,3
wcde-v2,1,epop,age,15--19,4
wcde-v2,1,epop,age,20--24,5
wcde-v2,1,epop,age,25--29,6
wcde-v2,1,epop,age,30--34,7
wcde-v2,1,epop,age,35--39,8
wcde-v2,1,epop,age,40--44,9
wcde-v2,1,epop,age,45--49,10
wcde-v2,1,epop,age,50--54,11
wcde-v2,1,epop,age,55--59,12
wcde-v2,1,epop,age,60--64,13
wcde-v2,1,epop,age,65--69,14
wcde-v2,1,epop,age,70--74,15
wcde-v2,1,epop,age,75--79,16
wcde-v2,1,epop,age,80--84,17
wcde-v2,1,epop,age,85--89,18
wcde-v2,1,epop,age,90--94,19
wcde-v2,1,epop,age,95--99,20
wcde-v2,1,epop,age,100+,21
wcde-v2,1,epop,sex,Male,1
wcde-v2,1,epop,sex,Female,2
wcde-v2,1,epop,year,1955,1
wcde-v2,1,epop,year,1960,2
wcde-v2,1,epop,year,1965,3
wcde-v2,1,epop,year,1970,4
wcde-v2,1,epop,year,1975,5
wcde-v2,1,epop,year,1980,6
wcde-v2,1,epop,year,1985,7
wcde-v2,1,epop,year,1990,8
wcde-v2,1,epop,year,1995,9
wcde-v2,1,epop,year,2000,10
wcde-v2,1,epop,year,2005,11
wcde-v2,1,epop,year,2010,12
wcde-v2,1,epop,year,2015,13
wcde-v2,1,epop,edu,Short Post Secondary,8
wcde-v2,1,epop,edu,Bachelor,9
wcde-v2,1,epop,edu,Master and higher,10
wcde-v2,1,epop,year,2020,14
wcde-v2,1,epop,year,2025,15
wcde-v2,1,epop,year,2030,16
wcde-v2,1,epop,year,2035,17
wcde-v2,1,epop,year,2040,18
wcde-v2,1,epop,year,2045,19
wcde-v2,1,epop,year,2050,20
wcde-v2,1,epop,year,2055,21
wcde-v2,1,epop,year,2060,22
wcde-v2,1,epop,year,2065,23
wcde-v2,1,epop,year,2070,24
wcde-v2,1,epop,year,2075,25
wcde-v2,1,epop,year,2080,26
wcde-v2,1,epop,year,2085,27
wcde-v2,1,epop,year,2090,28
wcde-v2,1,epop,year,2095,29
wcde-v2,1,epop,year,2100,30
wcde-v2,1,etfr,age,All,0
wcde-v2,1,etfr,edu,No Education,2
wcde-v2,1,etfr,sex,Female,2
wcde-v2,1,etfr,year,2015,13
wcde-v2,1,etfr,edu,Incomplete Primary,3
wcde-v2,1,etfr,edu,Primary,4
wcde-v2,1,etfr,edu,Lower Secondary,5
wcde-v2,1,etfr,edu,Upper Secondary,6
wcde-v2,1,etfr,edu,Post Secondary,7
wcde-v2,1,etfr,year,2020,14
wcde-v2,1,etfr,year,2025,15
wcde-v2,1,etfr,year,2030,16
wcde-v2,1,etfr,year,2035,17
wcde-v2,1,etfr,year,2040,18
wcde-v2,1,etfr,year,2045,19
wcde-v2,1,etfr,year,2050,20
wcde-v2,1,etfr,year,2055,21
wcde-v2,1,etfr,year,2060,22
wcde-v2,1,etfr,year,2065,23
wcde-v2,1,etfr,year,2070,24
wcde-v2,1,etfr,year,2075,25
wcde-v2,1,etfr,year,2080,26
wcde-v2,1,etfr,year,2085,27
wcde-v2,1,etfr,year,2090,28
wcde-v2,1,etfr,year,2095,29
wcde-v2,1,growth,age,All,0
wcde-v2,1,growth,edu,Total,0
wcde-v2,1,growth,sex,Both,0
wcde-v2,1,growth,year,1950,0
wcde-v2,1,growth,year,1955,1
wcde-v2,1,growth,year,1960,2
wcde-v2,1,growth,year,1965,3
wcde-v2,1,growth,year,1970,4
wcde-v2,1,growth,year,1975,5
wcde-v2,1,growth,year,1980,6
wcde-v2,1,growth,year,1985,7
wcde-v2,1,growth,year,1990,8
wcde-v2,1,growth,year,1995,9
wcde-v2,1,growth,year,2000,10
wcde-v2,1,growth,year,2005,11
wcde-v2,1,growth,year,2010,12
wcde-v2,1,growth,year,2015,13
wcde-v2,1,growth,year,2020,14
wcde-v2,1,growth,year,2025,15
wcde-v2,1,growth,year,2030,16
wcde-v2,1,growth,year,2035,17
wcde-v2,1,growth,year,2040,18
wcde-v2,1,growth,year,2045,19
wcde-v2,1,growth,year,2050,20
wcde-v2,1,growth,year,2055,21
wcde-v2,1,growth,year,2060,22
wcde-v2,1,growth,year,2065,23
wcde-v2,1,growth,year,2070,24
wcde-v2,1,growth,year,2075,25
wcde-v2,1,growth,year,2080,26
wcde-v2,1,growth,year,2085,27
wcde-v2,1,growth,year,2090,28
wcde-v2,1,growth,year,2095,29
wcde-v2,1,macb,age,All,0
wcde-v2,1,macb,edu,Total,0
wcde-v2,1,macb,sex,Female,2
wcde-v2,1,macb,year,1950,0
wcde-v2,1,macb,year,1955,1
wcde-v2,1,macb,year,1960,2
wcde-v2,1,macb,year,1965,3
wcde-v2,1,macb,year,1970,4
wcde-v2,1,macb,year,1975,5
wcde-v2,1,macb,year,1980,6
wcde-v2,1,macb,year,1985,7
wcde-v2,1,macb,year,1990,8
wcde-v2,1,macb,year,1995,9
wcde-v2,1,macb,year,2000,10
wcde-v2,1,macb,year,2005,11
wcde-v2,1,macb,year,2010,12
wcde-v2,1,macb,year,2015,13
wcde-v2,1,macb,year,2020,14
wcde-v2,1,macb,year,2025,15
wcde-v2,1,macb,year,2030,16
wcde-v2,1,macb,year,2035,17
wcde-v2,1,macb,year,2040,18
wcde-v2,1,macb,year,2045,19
wcde-v2,1,macb,year,2050,20
wcde-v2,1,macb,year,2055,21
wcde-v2,1,macb,year,2060,22
wcde-v2,1,macb,year,2065,23
wcde-v2,1,macb,year,2070,24
wcde-v2,1,macb,year,2075,25
wcde-v2,1,macb,year,2080,26
wcde-v2,1,macb,year,2085,27
wcde-v2,1,macb,year,2090,28
wcde-v2,1,macb,year,2095,29
wcde-v2,1,mage,age,All,0
wcde-v2,1,mage,edu,Total,0
wcde-v2,1,mage,sex,Both,0
wcde-v2,1,mage,year,1950,0
wcde-v2,1,mage,year,1955,1
wcde-v2,1,mage,year,1960,2
wcde-v2,1,mage,year,1965,3
wcde-v2,1,mage,year,1970,4
wcde-v2,1,mage,year,1975,5
wcde-v2,1,mage,year,1980,6
wcde-v2,1,mage,year,1985,7
wcde-v2,1,mage,year,1990,8
wcde-v2,1,mage,year,1995,9
wcde-v2,1,mage,year,2000,10
wcde-v2,1,mage,year,2005,11
wcde-v2,1,mage,year,2010,12
wcde-v2,1,mage,year,2015,13
wcde-v2,1,mage,year,2020,14
wcde-v2,1,mage,year,2025,15
wcde-v2,1,mage,year,2030,16
wcde-v2,1,mage,year,2035,17
wcde-v2,1,mage,year,2040,18
wcde-v2,1,mage,year,2045,19
wcde-v2,1,mage,year,2050,20
wcde-v2,1,mage,year,2055,21
wcde-v2,1,mage,year,2060,22
wcde-v2,1,mage,year,2065,23
wcde-v2,1,mage,year,2070,24
wcde-v2,1,mage,year,2075,25
wcde-v2,1,mage,year,2080,26
wcde-v2,1,mage,year,2085,27
wcde-v2,1,mage,year,2090,28
wcde-v2,1,mage,year,2095,29
wcde-v2,1,mage,year,2100,30
wcde-v2,1,mys,age,0--4,1
wcde-v2,1,mys,edu,Total,0
wcde-v2,1,mys,sex,Both,0
wcde-v2,1,mys,year,1950,0
wcde-v2,1,mys,age,5--9,2
wcde-v2,1,mys,age,10--14,3
wcde-v2,1,mys,age,15--19,4
wcde-v2,1,mys,age,20--24,5
wcde-v2,1,mys,age,25--29,6
wcde-v2,1,mys,age,30--34,7
wcde-v2,1,mys,age,35--39,8
wcde-v2,1,mys,age,40--44,9
wcde-v2,1,mys,age,45--49,10
wcde-v2,1,mys,age,50--54,11
wcde-v2,1,mys,age,55--59,12
wcde-v2,1,mys,age,60--64,13
wcde-v2,1,mys,age,65--69,14
wcde-v2,1,mys,age,70--74,15
wcde-v2,1,mys,age,75--79,16
wcde-v2,1,mys,age,80--84,17
wcde-v2,1,mys,age,85--89,18
wcde-v2,1,mys,age,90--94,19
wcde-v2,1,mys,age,95--99,20
wcde-v2,1,mys,age,100+,21
wcde-v2,1,mys,sex,Male,1
wcde-v2,1,mys,sex,Female,2
wcde-v2,1,mys,year,1955,1
wcde-v2,1,mys,year,1960,2
wcde-v2,1,mys,year,1965,3
wcde-v2,1,mys,year,1970,4
wcde-v2,1,mys,year,1975,5
wcde-v2,1,mys,year,1980,6
wcde-v2,1,mys,year,1985,7
wcde-v2,1,mys,year,1990,8
wcde-v2,1,mys,year,1995,9
wcde-v2,1,mys,year,2000,10
wcde-v2,1,mys,year,2005,11
wcde-v2,1,mys,year,2010,12
wcde-v2,1,mys,year,2015,13
wcde-v2,1,mys,year,2020,14
wcde-v2,1,mys,year,2025,15
wcde-v2,1,mys,year,2030,16
wcde-v2,1,mys,year,2035,17
wcde-v2,1,mys,year,2040,18
wcde-v2,1,mys,year,2045,19
wcde-v2,1,mys,year,2050,20
wcde-v2,1,mys,year,2055,21
wcde-v2,1,mys,year,2060,22
wcde-v2,1,mys,year,2065,23
wcde-v2,1,mys,year,2070,24
wcde-v2,1,mys,year,2075,25
wcde-v2,1,mys,year,2080,26
wcde-v2,1,mys,year,2085,27
wcde-v2,1,mys,year,2090,28
wcde-v2,1,mys,year,2095,29
wcde-v2,1,mys,year,2100,30
wcde-v2,1,net,age,All,0
wcde-v2,1,net,edu,Total,0
wcde-v2,1,net,sex,Both,0
wcde-v2,1,net,year,1950,0
wcde-v2,1,net,year,1955,1
wcde-v2,1,net,year,1960,2
wcde-v2,1,net,year,1965,3
wcde-v2,1,net,year,1970,4
wcde-v2,1,net,year,1975,5
wcde-v2,1,net,year,1980,6
wcde-v2,1,net,year,1985,7
wcde-v2,1,net,year,1990,8
wcde-v2,1,net,year,1995,9
wcde-v2,1,net,year,2000,10
wcde-v2,1,net,year,2005,11
wcde-v2,1,net,year,2010,12
wcde-v2,1,net,year,2015,13
wcde-v2,1,net,age,0--4,1
wcde-v2,1,net,age,5--9,2
wcde-v2,1,net,age,10--14,3
wcde-v2,1,net,age,15--19,4
wcde-v2,1,net,age,20--24,5
wcde-v2,1,net,age,25--29,6
wcde-v2,1,net,age,30--34,7
wcde-v2,1,net,age,35--39,8
wcde-v2,1,net,age,40--44,9
wcde-v2,1,net,age,45--49,10
wcde-v2,1,net,age,50--54,11
wcde-v2,1,net,age,55--59,12
wcde-v2,1,net,age,60--64,13
wcde-v2,1,net,age,65--69,14
wcde-v2,1,net,age,70--74,15
wcde-v2,1,net,age,75--79,16
wcde-v2,1,net,age,80--84,17
wcde-v2,1,net,age,85--89,18
wcde-v2,1,net,age,90--94,19
wcde-v2,1,net,age,95--99,20
wcde-v2,1,net,age,100+,21
wcde-v2,1,net,sex,Male,1
wcde-v2,1,net,sex,Female,2
wcde-v2,1,net,year,2020,14
wcde-v2,1,net,year,2025,15
wcde-v2,1,net,year,2030,16
wcde-v2,1,net,year,2035,17
wcde-v2,1,net,year,2040,18
wcde-v2,1,net,year,2045,19
wcde-v2,1,net,year,2050,20
wcde-v2,1,net,year,2055,21
wcde-v2,1,net,year,2060,22
wcde-v2,1,net,year,2065,23
wcde-v2,1,net,year,2070,24
wcde-v2,1,net,year,2075,25
wcde-v2,1,net,year,2080,26
wcde-v2,1,net,year,2085,27
wcde-v2,1,net,year,2090,28
wcde-v2,1,net,year,2095,29
wcde-v2,1,nirate,age,All,0
wcde-v2,1,nirate,edu,Total,0
wcde-v2,1,nirate,sex,Both,0
wcde-v2,1,nirate,year,1950,0
wcde-v2,1,nirate,year,1955,1
wcde-v2,1,nirate,year,1960,2
wcde-v2,1,nirate,year,1965,3
wcde-v2,1,nirate,year,1970,4
wcde-v2,1,nirate,year,1975,5
wcde-v2,1,nirate,year,1980,6
wcde-v2,1,nirate,year,1985,7
wcde-v2,1,nirate,year,1990,8
wcde-v2,1,nirate,year,1995,9
wcde-v2,1,nirate,year,2000,10
wcde-v2,1,nirate,year,2005,11
wcde-v2,1,nirate,year,2010,12
wcde-v2,1,nirate,year,2015,13
wcde-v2,1,nirate,year,2020,14
wcde-v2,1,nirate,year,2025,15
wcde-v2,1,nirate,year,2030,16
wcde-v2,1,nirate,year,2035,17
wcde-v2,1,nirate,year,2040,18
wcde-v2,1,nirate,year,2045,19
wcde-v2,1,nirate,year,2050,20
wcde-v2,1,nirate,year,2055,21
wcde-v2,1,nirate,year,2060,22
wcde-v2,1,nirate,year,2065,23
wcde-v2,1,nirate,year,2070,24
wcde-v2,1,nirate,year,2075,25
wcde-v2,1,nirate,year,2080,26
wcde-v2,1,nirate,year,2085,27
wcde-v2,1,nirate,year,2090,28
wcde-v2,1,nirate,year,2095,29
wcde-v2,1,odr,age,All,0
wcde-v2,1,odr,edu,Total,0
wcde-v2,1,odr,sex,Both,0
wcde-v2,1,odr,year,1950,0
wcde-v2,1,odr,year,1955,1
wcde-v2,1,odr,year,1960,2
wcde-v2,1,odr,year,1965,3
wcde-v2,1,odr,year,1970,4
wcde-v2,1,odr,year,1975,5
wcde-v2,1,odr,year,1980,6
wcde-v2,1,odr,year,1985,7
wcde-v2,1,odr,year,1990,8
wcde-v2,1,odr,year,1995,9
wcde-v2,1,odr,year,2000,10
wcde-v2,1,odr,year,2005,11
wcde-v2,1,odr,year,2010,12
wcde-v2,1,odr,year,2015,13
wcde-v2,1,odr,year,2020,14
wcde-v2,1,odr,year,2025,15
wcde-v2,1,odr,year,2030,16
wcde-v2,1,odr,year,2035,17
wcde-v2,1,odr,year,2040,18
wcde-v2,1,odr,year,2045,19
wcde-v2,1,odr,year,2050,20
wcde-v2,1,odr,year,2055,21
wcde-v2,1,odr,year,2060,22
wcde-v2,1,odr,year,2065,23
wcde-v2,1,odr,year,2070,24
wcde-v2,1,odr,year,2075,25
wcde-v2,1,odr,year,2080,26
wcde-v2,1,odr,year,2085,27
wcde-v2,1,odr,year,2090,28
wcde-v2,1,odr,year,2095,29
wcde-v2,1,odr,year,2100,30
wcde-v2,1,pop,age,All,0
wcde-v2,1,pop,edu,Total,0
wcde-v2,1,pop,sex,Both,0
wcde-v2,1,pop,year,1950,0
wcde-v2,1,pop,age,0--4,1
wcde-v2,1,pop,age,5--9,2
wcde-v2,1,pop,age,10--14,3
wcde-v2,1,pop,age,15--19,4
wcde-v2,1,pop,age,20--24,5
wcde-v2,1,pop,age,25--29,6
wcde-v2,1,pop,age,30--34,7
wcde-v2,1,pop,age,35--39,8
wcde-v2,1,pop,age,40--44,9
wcde-v2,1,pop,age,45--49,10
wcde-v2,1,pop,age,50--54,11
wcde-v2,1,pop,age,55--59,12
wcde-v2,1,pop,age,60--64,13
wcde-v2,1,pop,age,65--69,14
wcde-v2,1,pop,age,70--74,15
wcde-v2,1,pop,age,75--79,16
wcde-v2,1,pop,age,80--84,17
wcde-v2,1,pop,age,85--89,18
wcde-v2,1,pop,age,90--94,19
wcde-v2,1,pop,age,95--99,20
wcde-v2,1,pop,age,100+,21
wcde-v2,1,pop,sex,Male,1
wcde-v2,1,pop,sex,Female,2
wcde-v2,1,pop,year,1955,1
wcde-v2,1,pop,year,1960,2
wcde-v2,1,pop,year,1965,3
wcde-v2,1,pop,year,1970,4
wcde-v2,1,pop,year,1975,5
wcde-v2,1,pop,year,1980,6
wcde-v2,1,pop,year,1985,7
wcde-v2,1,pop,year,1990,8
wcde-v2,1,pop,year,1995,9
wcde-v2,1,pop,year,2000,10
wcde-v2,1,pop,year,2005,11
wcde-v2,1,pop,year,2010,12
wcde-v2,1,pop,year,2015,13
wcde-v2,1,pop,year,2020,14
wcde-v2,1,pop,year,2025,15
wcde-v2,1,pop,year,2030,16
wcde-v2,1,pop,year,2035,17
wcde-v2,1,pop,year,2040,18
wcde-v2,1,pop,year,2045,19
wcde-v2,1,pop,year,2050,20
wcde-v2,1,pop,year,2055,21
wcde-v2,1,pop,year,2060,22
wcde-v2,1,pop,year,2065,23
wcde-v2,1,pop,year,2070,24
wcde-v2,1,pop,year,2075,25
wcde-v2,1,pop,year,2080,26
wcde-v2,1,pop,year,2085,27
wcde-v2,1,pop,year,2090,28
wcde-v2,1,pop,year,2095,29
wcde-v2,1,pop,year,2100,30
wcde-v2,1,pryl15,age,All,0
wcde-v2,1,pryl15,edu,Total,0
wcde-v2,1,pryl15,sex,Male,1
wcde-v2,1,pryl15,year,1950,0
wcde-v2,1,pryl15,sex,Female,2
wcde-v2,1,pryl15,year,1955,1
wcde-v2,1,pryl15,year,1960,2
wcde-v2,1,pryl15,year,1965,3
wcde-v2,1,pryl15,year,1970,4
wcde-v2,1,pryl15,year,1975,5
wcde-v2,1,pryl15,year,1980,6
wcde-v2,1,pryl15,year,1985,7
wcde-v2,1,pryl15,year,1990,8
wcde-v2,1,pryl15,year,1995,9
wcde-v2,1,pryl15,year,2000,10
wcde-v2,1,pryl15,year,2005,11
wcde-v2,1,pryl15,year,2010,12
wcde-v2,1,pryl15,year,2015,13
wcde-v2,1,pryl15,year,2020,14
wcde-v2,1,pryl15,year,2025,15
wcde-v2,1,pryl15,year,2030,16
wcde-v2,1,pryl15,year,2035,17
wcde-v2,1,pryl15,year,2040,18
wcde-v2,1,pryl15,year,2045,19
wcde-v2,1,pryl15,year,2050,20
wcde-v2,1,pryl15,year,2055,21
wcde-v2,1,pryl15,year,2060,22
wcde-v2,1,pryl15,year,2065,23
wcde-v2,1,pryl15,year,2070,24
wcde-v2,1,pryl15,year,2075,25
wcde-v2,1,pryl15,year,2080,26
wcde-v2,1,pryl15,year,2085,27
wcde-v2,1,pryl15,year,2090,28
wcde-v2,1,pryl15,year,2095,29
wcde-v2,1,ryl15,age,All,0
wcde-v2,1,ryl15,edu,Total,0
wcde-v2,1,ryl15,sex,Male,1
wcde-v2,1,ryl15,year,1950,0
wcde-v2,1,ryl15,sex,Female,2
wcde-v2,1,ryl15,year,1955,1
